高雄中門路1-29號 22.504244,120.375272 06:30 - 21:00
高雄中芸三路300號 22.495664,120.398893 00:00 - 24:00
高雄鳳林鄉鳳林路2段1038號 22.5153441,120.3954625 06:00 - 23:00
高雄和蓮里中正路960號 22.880525,120.321250 06:00 - 23:00
高雄阿蓮里和平路256號 22.886529,120.333950 00:00 - 24:00
高雄成功二路2-2號 22.596947,120.304749 00:00 - 24:00
高雄中華五路825號 22.597863,120.307774 07:00 - 21:00
高雄永豐路229號 22.608294,120.333077 00:00 - 24:00
高雄鎮海路123號 22.5901341,120.3153192 00:00 - 24:00
高雄新生路210號 22.580556,120.312783 00:00 - 24:00
高雄金福路80號 22.572152,120.3286741 00:00 - 24:00
高雄中壇里10鄰忠孝路一段7號 22.885678,120.530467 06:00 - 22:00
高雄德興里13鄰中正路二段655號 22.8712193,120.5369655 06:30 - 21:00
高雄祿興里7鄰中興路一段401號 22.8855426,120.5365685 06:00 - 22:00
高雄吉安里仁愛路一段2號 22.886344,120.186691 00:00 - 24:00
高雄中正一路332號 22.629876,120.326628 00:00 - 24:00
高雄凱旋三路657號 22.616916,120.326431 00:00 - 24:00
高雄三多二路330號 22.6180319,120.3168258 00:00 - 24:00
高雄中山二路497號 22.6198396,120.302233 00:00 - 24:00
高雄輜汽路69號 22.6166692,120.3367067 00:00 - 24:00
高雄芙蘭里2鄰南橫公路５段１９９號 23.240965,120.813962 06:00 - 20:00
高雄大舍里20鄰大舍南路92號 22.745015,120.262140 00:00 - 24:00
高雄典寶里15鄰大舍南路238號 22.740753,120.263777 00:00 - 24:00
高雄坔埔里18鄰神農路370號 22.6589987,120.380971 00:00 - 24:00
高雄坔埔里18鄰神農路267號 22.6593767,120.3732192 00:00 - 24:00
高雄仁美里34鄰北平路49號 22.658437,120.399642 06:00 - 22:00
高雄海山里東方路678號 22.8766809,120.221462 00:00 - 24:00
高雄逸賢里湖中路685號 22.9060468,120.2077199 06:30 - 21:30
高雄大湖里中山路1段200號 22.8833792,120.2477254 07:00 - 21:00
高雄中山路一段152號 22.8835255,120.2475808 00:00 - 24:00
高雄裕昌里7鄰後昌路1196號 22.7172394,120.290165 00:00 - 24:00
高雄德中路168號 22.7241687,120.2766451 00:00 - 24:00
高雄裕昌里13鄰德民路899號 22.7211215,120.2901022 00:00 - 24:00
高雄宏榮里22鄰加昌路637號 22.715269,120.299111 07:00 - 21:00
高雄稔田里12鄰高楠公路945號 22.7117957,120.3252599 07:00 - 21:00
高雄中陽里1鄰楠陽路115號 22.723798,120.3301999 00:00 - 24:00
高雄竹滬里8鄰大公路439號 22.853117,120.228915 06:00 - 22:00
高雄環球路２００號 22.879979,120.274881 06:00 - 22:00
高雄環球路305號 22.879946,120.269460 00:00 - 24:00
高雄復興路213號 22.8481446,120.2730207 07:00 - 22:00
高雄博愛一路536號 22.655318,120.303734 00:00 - 24:00
高雄旗南二路87-6號 22.841135,120.463965 06:00 - 21:00
高雄南勝里29鄰旗南3路204之1號 22.773989,120.449883 06:00 - 22:00
高雄東平里5鄰延平二路159號 22.8828577,120.4952834 00:00 - 24:00
高雄圓富里3鄰旗甲路2段10號 22.9137285,120.4937686 07:00 - 21:00
高雄東平里5鄰延平二路114號 22.8825439,120.4950879 06:00 - 22:00
高雄永和里3鄰延平一路115號 22.8980641,120.483336 06:00 - 22:00
高雄新光里10鄰旗南三路120-8號 22.824459,120.462171 06:00 - 22:00
高雄鳳林路91號 22.6224214,120.3743436 00:00 - 24:00
高雄五甲二路73號 22.603040,120.342882 00:00 - 24:00
高雄鳳頂路６０２號 22.598228,120.360478 07:00 - 21:00
高雄國泰路1段281號 22.615806,120.353646 07:00 - 22:00
高雄鳳屏一路112號 22.6321763,120.3864644 00:00 - 24:00
高雄鳳頂路225號 22.591107,120.358604 00:00 - 24:00
高雄五甲一路667號 22.610780,120.349475 00:00 - 24:00
高雄鳳南路286號 22.6024229,120.3348692 00:00 - 24:00
高雄中安路709號 22.58509,120.360433 00:00 - 24:00
高雄三德里1鄰芋寮路南段412號 22.7567774,120.2955109 06:30 - 21:30
高雄安招路730號 22.788645,120.324341 06:00 - 21:00
高雄安招里42鄰安招路683號 22.788642,120.324177 00:00 - 24:00
高雄鳳雄里20鄰鳳東路86號 22.7596508,120.3638227 00:00 - 24:00
高雄安招里21鄰安北路25號 22.792054,120.350140 00:00 - 24:00
高雄瓊林里7鄰安招路456之1號 22.7897076,120.3337642 00:00 - 24:00
高雄鳳雄里20鄰鳳東路77號 22.759614,120.365881 00:00 - 24:00
高雄鹽埕里22鄰鹽埕大路138號 22.790857,120.245621 06:00 - 22:00
高雄鹽埕里鹽埕大路160號 22.792489,120.245160 00:00 - 24:00
高雄建國四路311號 22.630593,120.282728 00:00 - 24:00
