高雄市仁武區八卦里八德西路246號 22.678482,120.330698 00:00 - 24:00
高雄市仁武區八卦里八德南路65號 22.684661,120.339597 00:00 - 24:00
高雄市仁武區仁光路165號1樓 22.683220,120.350936 00:00 - 24:00
高雄市前金區成功一路455之1號 22.6285034,120.2919925 00:00 - 24:00
高雄市前金區大同一路268號1樓 22.627941,120.297539 00:00 - 24:00
高雄市前金區博孝里河東路8號1樓 22.6217148,120.2911269 00:00 - 24:00
高雄市前金區大同二路1號 22.6273311,120.2964223 00:00 - 24:00
高雄市鳥松區學堂路18號20號 22.658568,120.392465 00:00 - 24:00
高雄市鳥松區鳥松里大智路5號 22.658884,120.361303 00:00 - 24:00
高雄市鳥松區水土埔里神農路479號 22.659019,120.381455 00:00 - 24:00
高雄市鳥松區鳥松里大仁北路2號1樓 22.6626839,120.3624199 00:00 - 24:00
高雄市鳥松區大華里本館路1號 22.6478973,120.3466178 00:00 - 24:00
高雄市岡山區大仁北路175號1樓 22.799225,120.3021488 00:00 - 24:00
高雄市岡山區壽峰里前峰路152號之1一樓 22.7977403,120.284491 00:00 - 24:00
高雄市岡山區大仁路138號 22.8044464,120.301498 00:00 - 24:00
高雄市岡山區大遼里大遼路122-3號 22.7742193,120.3143909 00:00 - 24:00
高雄市岡山區台上里嘉新東路136號 22.8076076,120.2986397 00:00 - 24:00
高雄市岡山區石潭里石潭路250號 22.774622,120.2688456 00:00 - 24:00
高雄市岡山區壽峰里前峰路80號 22.7952947,120.2881304 00:00 - 24:00
高雄市岡山區岡山路264號266號 22.7926814,120.2961335 00:00 - 24:00
高雄市岡山區大德一路160號 22.7971526,120.3041523 00:00 - 24:00
高雄市岡山區本洲里本洲路350-5號 22.8076939,120.2622886 00:00 - 24:00
高雄市岡山區筧橋路12號16號1樓 22.788271,120.295570 00:00 - 24:00
高雄市岡山區台上里成功路82號1樓 22.8028069,120.2962813 00:00 - 24:00
高雄市岡山區大德二路61號 22.7913035,120.3063884 00:00 - 24:00
高雄市苓雅區大順三路76號1樓 22.631407,120.324666 00:00 - 24:00
高雄市苓雅區正大里輔仁路一段145號1樓 22.8044248,120.300056 00:00 - 24:00
高雄市苓雅區民主里憲政路100號1樓 22.635576,120.325105 00:00 - 24:00
